lead_id,created_at,brand,utm_source,utm_medium,utm_campaign,lead_status,deal_amount_usd
L-82109,2026-07-03 22:19:00,NMB,,,,MQL,
L-79299,2026-05-28 13:40:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,SQL,
L-78571,2026-07-23 12:05:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-75851,2026-06-12 12:23:00,NMB,fb,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-75943,2026-06-25 20:20:00,NMB,,,,Lead,
L-71102,2026-05-06 14:10:00,AUR,meta,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-74583,2026-05-14 19:03:00,NMB,,,,Lead,
L-79375,2026-06-05 11:53:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-71802,2026-07-04 11:24:00,AUR,Facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-81232,2026-05-25 20:01:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,MQL,
L-72396,2026-07-21 15:31:00,AUR,,,,MQL,
L-82243,2026-07-15 12:15:00,PKF,google,paid_social,(not set),MQL,
L-72719,2026-05-19 16:57:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-73114,2026-06-14 21:40:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,MQL,
L-72327,2026-07-02 09:55:00,AUR,,,,Lead,
L-77549,2026-05-15 22:10:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-82272,2026-07-18 08:46:00,PKF,google,paid_social,(not set),Lead,
L-78979,2026-07-09 10:20:00,PKF,google,cpc,pkf|nonbrand|search|may26,MQL,
L-74680,2026-05-20 13:11:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-77532,2026-05-13 22:35:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,SQL,
