date,campaign_id,campaign_name,impressions,clicks,spend,conversions,extracted_at
2026-05-01,F-1001,AUR_US_Meta_Prospecting_2026Q2,27199,315,277.02,9,2026-08-01 03:12:44
2026-05-02,F-1001,AUR_US_Meta_Prospecting_2026Q2,20647,244,191.47,4,2026-08-01 03:12:44
2026-05-03,F-1001,AUR_US_Meta_Prospecting_2026Q2,23266,276,202.85,6,2026-08-01 03:12:44
2026-05-04,F-1001,AUR_US_Meta_Prospecting_2026Q2,31272,321,274.71,10,2026-08-01 03:12:44
2026-05-05,F-1001,AUR_US_Meta_Prospecting_2026Q2,28084,286,279.54,11,2026-08-01 03:12:44
2026-05-06,F-1001,AUR_US_Meta_Prospecting_2026Q2,44036,454,398.87,20,2026-08-01 03:12:44
2026-05-07,F-1001,AUR_US_Meta_Prospecting_2026Q2,29105,307,293.11,6,2026-08-01 03:12:44
2026-05-08,F-1001,AUR_US_Meta_Prospecting_2026Q2,33406,316,291.75,9,2026-08-01 03:12:44
2026-05-09,F-1001,AUR_US_Meta_Prospecting_2026Q2,28682,288,256.49,11,2026-08-01 03:12:44
2026-05-10,F-1001,AUR_US_Meta_Prospecting_2026Q2,25531,294,253.23,6,2026-08-01 03:12:44
2026-05-11,F-1001,AUR_US_Meta_Prospecting_2026Q2,29421,315,302.57,5,2026-08-01 03:12:44
2026-05-12,F-1001,AUR_US_Meta_Prospecting_2026Q2,33837,319,293.74,13,2026-08-01 03:12:44
2026-05-13,F-1001,AUR_US_Meta_Prospecting_2026Q2,44814,442,408.23,16,2026-08-01 03:12:44
2026-05-14,F-1001,AUR_US_Meta_Prospecting_2026Q2,41061,418,363.47,16,2026-08-01 03:12:44
2026-05-15,F-1001,AUR_US_Meta_Prospecting_2026Q2,40879,463,369.43,13,2026-08-01 03:12:44
2026-05-16,F-1001,AUR_US_Meta_Prospecting_2026Q2,25861,296,224.23,9,2026-08-01 03:12:44
2026-05-17,F-1001,AUR_US_Meta_Prospecting_2026Q2,19291,211,194.0,11,2026-08-01 03:12:44
2026-05-18,F-1001,AUR_US_Meta_Prospecting_2026Q2,38075,421,354.37,13,2026-08-01 03:12:44
2026-05-19,F-1001,AUR_US_Meta_Prospecting_2026Q2,38595,447,403.85,15,2026-08-01 03:12:44
2026-05-20,F-1001,AUR_US_Meta_Prospecting_2026Q2,36635,402,379.28,21,2026-08-01 03:12:44
2026-05-21,F-1001,AUR_US_Meta_Prospecting_2026Q2,40417,394,363.45,15,2026-08-01 03:12:44
2026-05-22,F-1001,AUR_US_Meta_Prospecting_2026Q2,37093,379,368.45,10,2026-08-01 03:12:44
2026-05-23,F-1001,AUR_US_Meta_Prospecting_2026Q2,27988,315,246.03,10,2026-08-01 03:12:44
2026-05-24,F-1001,AUR_US_Meta_Prospecting_2026Q2,27756,294,255.66,5,2026-08-01 03:12:44
2026-05-25,F-1001,AUR_US_Meta_Prospecting_2026Q2,37189,366,332.37,12,2026-08-01 03:12:44
2026-05-26,F-1001,AUR_US_Meta_Prospecting_2026Q2,43893,493,403.72,18,2026-08-01 03:12:44
2026-05-27,F-1001,AUR_US_Meta_Prospecting_2026Q2,38420,404,356.54,12,2026-08-01 03:12:44
2026-05-28,F-1001,AUR_US_Meta_Prospecting_2026Q2,33070,399,318.73,9,2026-08-01 03:12:44
2026-05-29,F-1001,AUR_US_Meta_Prospecting_2026Q2,39610,492,372.29,10,2026-08-01 03:12:44
2026-05-30,F-1001,AUR_US_Meta_Prospecting_2026Q2,24315,234,217.19,9,2026-08-01 03:12:44
2026-05-31,F-1001,AUR_US_Meta_Prospecting_2026Q2,20496,212,194.58,3,2026-08-01 03:12:44
2026-06-01,F-1001,AUR_US_Meta_Prospecting_2026Q2,33676,374,317.79,10,2026-08-01 03:12:44
2026-06-02,F-1001,AUR_US_Meta_Prospecting_2026Q2,39477,483,407.36,22,2026-08-01 03:12:44
2026-06-03,F-1001,AUR_US_Meta_Prospecting_2026Q2,41628,455,390.13,18,2026-08-01 03:12:44
2026-06-04,F-1001,AUR_US_Meta_Prospecting_2026Q2,41562,413,368.27,9,2026-08-01 03:12:44
2026-06-05,F-1001,AUR_US_Meta_Prospecting_2026Q2,38077,405,361.97,13,2026-08-01 03:12:44
2026-06-06,F-1001,AUR_US_Meta_Prospecting_2026Q2,26889,315,243.07,8,2026-08-01 03:12:44
2026-06-07,F-1001,AUR_US_Meta_Prospecting_2026Q2,19782,245,206.57,9,2026-08-01 03:12:44
2026-06-08,F-1001,AUR_US_Meta_Prospecting_2026Q2,32083,377,316.24,10,2026-08-01 03:12:44
2026-06-09,F-1001,AUR_US_Meta_Prospecting_2026Q2,31088,315,321.96,8,2026-08-01 03:12:44
2026-06-10,F-1001,AUR_US_Meta_Prospecting_2026Q2,48269,575,437.05,17,2026-08-01 03:12:44
2026-06-11,F-1001,AUR_US_Meta_Prospecting_2026Q2,37607,418,358.74,8,2026-08-01 03:12:44
2026-06-12,F-1001,AUR_US_Meta_Prospecting_2026Q2,28033,306,295.58,6,2026-08-01 03:12:44
2026-06-13,F-1001,AUR_US_Meta_Prospecting_2026Q2,24270,247,222.83,10,2026-08-01 03:12:44
2026-06-14,F-1001,AUR_US_Meta_Prospecting_2026Q2,26225,263,240.02,11,2026-08-01 03:12:44
2026-06-14,F-1001,AUR_US_Meta_Prospecting_2026Q2,26225,263,240.02,11,2026-08-01 03:12:44
2026-06-15,F-1001,AUR_US_Meta_Prospecting_2026Q2,35634,410,320.23,15,2026-08-01 03:12:44
2026-06-16,F-1001,AUR_US_Meta_Prospecting_2026Q2,40316,472,413.16,12,2026-08-01 03:12:44
2026-06-17,F-1001,AUR_US_Meta_Prospecting_2026Q2,48756,498,441.5,18,2026-08-01 03:12:44
2026-06-18,F-1001,AUR_US_Meta_Prospecting_2026Q2,39448,408,362.28,21,2026-08-01 03:12:44
2026-06-19,F-1001,AUR_US_Meta_Prospecting_2026Q2,41909,490,369.52,10,2026-08-01 03:12:44
2026-06-20,F-1001,AUR_US_Meta_Prospecting_2026Q2,24236,306,248.77,15,2026-08-01 03:12:44
2026-06-21,F-1001,AUR_US_Meta_Prospecting_2026Q2,20472,203,213.38,6,2026-08-01 03:12:44
2026-06-22,F-1001,AUR_US_Meta_Prospecting_2026Q2,41309,402,420.58,6,2026-08-01 03:12:44
2026-06-23,F-1001,AUR_US_Meta_Prospecting_2026Q2,42988,450,423.82,17,2026-08-01 03:12:44
2026-06-24,F-1001,AUR_US_Meta_Prospecting_2026Q2,49998,617,438.85,16,2026-08-01 03:12:44
2026-06-25,F-1001,AUR_US_Meta_Prospecting_2026Q2,40371,479,397.01,11,2026-08-01 03:12:44
2026-06-26,F-1001,AUR_US_Meta_Prospecting_2026Q2,35250,350,328.93,8,2026-08-01 03:12:44
2026-06-27,F-1001,AUR_US_Meta_Prospecting_2026Q2,24786,243,243.33,8,2026-08-01 03:12:44
2026-06-28,F-1001,AUR_US_Meta_Prospecting_2026Q2,26452,306,271.47,8,2026-08-01 03:12:44
2026-06-29,F-1001,AUR_US_Meta_Prospecting_2026Q2,36930,354,322.94,13,2026-08-01 03:12:44
2026-06-30,F-1001,AUR_US_Meta_Prospecting_2026Q2,41790,449,361.59,11,2026-08-01 03:12:44
2026-07-01,F-1001,AUR_US_Meta_Prospecting_2026Q2,48573,532,463.01,18,2026-08-01 03:12:44
