date,currency,base_currency,rate_to_base
2026-05-01,EUR,USD,1.081148
2026-05-01,USD,USD,1.0
2026-05-02,EUR,USD,1.081461
2026-05-02,USD,USD,1.0
2026-05-03,EUR,USD,1.0828
2026-05-03,USD,USD,1.0
2026-05-04,EUR,USD,1.080134
2026-05-04,USD,USD,1.0
2026-05-05,EUR,USD,1.083561
2026-05-05,USD,USD,1.0
2026-05-06,EUR,USD,1.081643
2026-05-06,USD,USD,1.0
2026-05-07,EUR,USD,1.084803
2026-05-07,USD,USD,1.0
2026-05-08,EUR,USD,1.081901
2026-05-08,USD,USD,1.0
2026-05-09,EUR,USD,1.078831
2026-05-09,USD,USD,1.0
2026-05-10,EUR,USD,1.078569
2026-05-10,USD,USD,1.0
2026-05-11,EUR,USD,1.076799
2026-05-11,USD,USD,1.0
2026-05-12,EUR,USD,1.07954
2026-05-12,USD,USD,1.0
2026-05-13,EUR,USD,1.08115
2026-05-13,USD,USD,1.0
2026-05-14,EUR,USD,1.080087
2026-05-14,USD,USD,1.0
2026-05-15,EUR,USD,1.082855
2026-05-15,USD,USD,1.0
2026-05-16,EUR,USD,1.079359
2026-05-16,USD,USD,1.0
2026-05-17,EUR,USD,1.077705
2026-05-17,USD,USD,1.0
2026-05-18,EUR,USD,1.079852
2026-05-18,USD,USD,1.0
2026-05-19,EUR,USD,1.076939
2026-05-19,USD,USD,1.0
2026-05-20,EUR,USD,1.078841
2026-05-20,USD,USD,1.0
2026-05-21,EUR,USD,1.080884
2026-05-21,USD,USD,1.0
2026-05-22,EUR,USD,1.079084
2026-05-22,USD,USD,1.0
2026-05-23,EUR,USD,1.080657
2026-05-23,USD,USD,1.0
2026-05-24,EUR,USD,1.082893
2026-05-24,USD,USD,1.0
2026-05-25,EUR,USD,1.082388
2026-05-25,USD,USD,1.0
2026-05-26,EUR,USD,1.085194
2026-05-26,USD,USD,1.0
2026-05-27,EUR,USD,1.08368
2026-05-27,USD,USD,1.0
2026-05-28,EUR,USD,1.08541
2026-05-28,USD,USD,1.0
2026-05-29,EUR,USD,1.08785
2026-05-29,USD,USD,1.0
2026-05-30,EUR,USD,1.088351
2026-05-30,USD,USD,1.0
2026-05-31,EUR,USD,1.08961
2026-05-31,USD,USD,1.0
2026-06-01,EUR,USD,1.091518
2026-06-01,USD,USD,1.0
2026-06-02,EUR,USD,1.091697
2026-06-02,USD,USD,1.0
2026-06-03,EUR,USD,1.094015
2026-06-03,USD,USD,1.0
2026-06-04,EUR,USD,1.093696
2026-06-04,USD,USD,1.0
2026-06-05,EUR,USD,1.093413
2026-06-05,USD,USD,1.0
2026-06-06,EUR,USD,1.094769
2026-06-06,USD,USD,1.0
2026-06-07,EUR,USD,1.094811
2026-06-07,USD,USD,1.0
2026-06-08,EUR,USD,1.091837
2026-06-08,USD,USD,1.0
2026-06-09,EUR,USD,1.090261
2026-06-09,USD,USD,1.0
2026-06-10,EUR,USD,1.090051
2026-06-10,USD,USD,1.0
2026-06-11,EUR,USD,1.090721
2026-06-11,USD,USD,1.0
2026-06-12,EUR,USD,1.087477
2026-06-12,USD,USD,1.0
2026-06-13,EUR,USD,1.090023
2026-06-13,USD,USD,1.0
2026-06-14,EUR,USD,1.090424
2026-06-14,USD,USD,1.0
2026-06-15,EUR,USD,1.093789
2026-06-15,USD,USD,1.0
2026-06-16,EUR,USD,1.096304
2026-06-16,USD,USD,1.0
2026-06-17,EUR,USD,1.095934
2026-06-17,USD,USD,1.0
2026-06-18,EUR,USD,1.09938
2026-06-18,USD,USD,1.0
2026-06-19,EUR,USD,1.101805
2026-06-19,USD,USD,1.0
2026-06-20,EUR,USD,1.102547
2026-06-20,USD,USD,1.0
2026-06-21,EUR,USD,1.100707
2026-06-21,USD,USD,1.0
2026-06-22,EUR,USD,1.101905
2026-06-22,USD,USD,1.0
2026-06-23,EUR,USD,1.098932
2026-06-23,USD,USD,1.0
2026-06-24,EUR,USD,1.095884
2026-06-24,USD,USD,1.0
2026-06-25,EUR,USD,1.094146
2026-06-25,USD,USD,1.0
2026-06-26,EUR,USD,1.090703
2026-06-26,USD,USD,1.0
2026-06-27,EUR,USD,1.092105
2026-06-27,USD,USD,1.0
2026-06-28,EUR,USD,1.09426
2026-06-28,USD,USD,1.0
2026-06-29,EUR,USD,1.095782
2026-06-29,USD,USD,1.0
2026-06-30,EUR,USD,1.095524
2026-06-30,USD,USD,1.0
2026-07-01,EUR,USD,1.09781
2026-07-01,USD,USD,1.0
2026-07-02,EUR,USD,1.100885
2026-07-02,USD,USD,1.0
2026-07-03,EUR,USD,1.103694
2026-07-03,USD,USD,1.0
2026-07-04,EUR,USD,1.101875
2026-07-04,USD,USD,1.0
2026-07-05,EUR,USD,1.098586
2026-07-05,USD,USD,1.0
2026-07-06,EUR,USD,1.101146
2026-07-06,USD,USD,1.0
2026-07-07,EUR,USD,1.102107
2026-07-07,USD,USD,1.0
2026-07-08,EUR,USD,1.100444
2026-07-08,USD,USD,1.0
2026-07-09,EUR,USD,1.098379
2026-07-09,USD,USD,1.0
2026-07-10,EUR,USD,1.095993
2026-07-10,USD,USD,1.0
2026-07-11,EUR,USD,1.095612
2026-07-11,USD,USD,1.0
2026-07-12,EUR,USD,1.096001
2026-07-12,USD,USD,1.0
2026-07-13,EUR,USD,1.096777
2026-07-13,USD,USD,1.0
2026-07-14,EUR,USD,1.097965
2026-07-14,USD,USD,1.0
2026-07-15,EUR,USD,1.095919
2026-07-15,USD,USD,1.0
2026-07-16,EUR,USD,1.097144
2026-07-16,USD,USD,1.0
2026-07-17,EUR,USD,1.09495
2026-07-17,USD,USD,1.0
2026-07-18,EUR,USD,1.098351
2026-07-18,USD,USD,1.0
2026-07-19,EUR,USD,1.095583
2026-07-19,USD,USD,1.0
2026-07-20,EUR,USD,1.098073
2026-07-20,USD,USD,1.0
2026-07-21,EUR,USD,1.097556
2026-07-21,USD,USD,1.0
2026-07-22,EUR,USD,1.099924
2026-07-22,USD,USD,1.0
2026-07-23,EUR,USD,1.09991
2026-07-23,USD,USD,1.0
2026-07-24,EUR,USD,1.09884
2026-07-24,USD,USD,1.0
2026-07-25,EUR,USD,1.101003
2026-07-25,USD,USD,1.0
2026-07-26,EUR,USD,1.099364
2026-07-26,USD,USD,1.0
2026-07-27,EUR,USD,1.099899
2026-07-27,USD,USD,1.0
2026-07-28,EUR,USD,1.100601
2026-07-28,USD,USD,1.0
2026-07-29,EUR,USD,1.101555
2026-07-29,USD,USD,1.0
2026-07-30,EUR,USD,1.101854
2026-07-30,USD,USD,1.0
2026-07-31,EUR,USD,1.101007
2026-07-31,USD,USD,1.0
