date,brand,source,medium,campaign,sessions
2026-05-01,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,219
2026-05-02,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,187
2026-05-03,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,181
2026-05-04,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,243
2026-05-05,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,205
2026-05-06,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,289
2026-05-07,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,190
2026-05-08,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,200
2026-05-09,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,206
2026-05-10,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,187
2026-05-11,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,237
2026-05-12,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,218
2026-05-13,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,297
2026-05-14,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,278
2026-05-15,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,333
2026-05-16,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,184
2026-05-17,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,134
2026-05-18,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,319
2026-05-19,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,347
2026-05-20,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,262
2026-05-21,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,305
2026-05-22,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,258
2026-05-23,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,214
2026-05-24,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,200
2026-05-25,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,266
2026-05-26,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,319
2026-05-27,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,291
2026-05-28,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,271
2026-05-29,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,339
2026-05-30,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,180
2026-05-31,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,149
2026-06-01,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,279
2026-06-02,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,363
2026-06-03,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,296
2026-06-04,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,316
2026-06-05,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,275
2026-06-06,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,199
2026-06-07,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,174
2026-06-08,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,257
2026-06-09,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,202
2026-06-10,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,389
2026-06-11,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,303
2026-06-12,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,236
2026-06-13,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,155
2026-06-14,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,181
2026-06-15,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,309
2026-06-16,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,351
2026-06-17,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,354
2026-06-18,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,305
2026-06-19,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,342
2026-06-20,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,216
2026-06-21,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,129
2026-06-22,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,261
2026-06-23,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,308
2026-06-24,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,468
2026-06-25,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,338
2026-06-26,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,235
2026-06-27,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,177
2026-06-28,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,235
2026-06-29,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,273
2026-06-30,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,310
2026-07-01,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,387
2026-07-02,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,229
2026-07-03,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,303
2026-07-04,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,220
2026-07-05,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,159
2026-07-06,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,346
2026-07-07,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,332
2026-07-08,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,309
